CAP;CODICE;DATA_FINE;DESCR_D;DESCR_I;SIGLA;COM_CODICE
89050;B379;;Calanna;Calanna;RC;080016
28873;B380;;Calasca-Castiglione;Calasca-Castiglione;VB;103014
94010;B381;;Calascibetta;Calascibetta;EN;086005
67020;B382;;Calascio;Calascio;AQ;066014
;B383;;Calasetta;Calasetta;SU;111008
95011;B384;;Calatabiano;Calatabiano;CT;087010
91013;B385;;Calatafimi-Segesta;Calatafimi-Segesta;TP;081003
38072;B386;31/12/2015;Calavino;Calavino;TN;022031
27053;B387;;Lungavilla;Lungavilla;PV;018084
01030;B388;;Calcata;Calcata;VT;056010
38050;B389;;Calceranica al Lago;Calceranica al Lago;TN;022032
56011;B390;;Calci;Calci;PI;050003
75010;B391;;Calciano;Calciano;MT;077004
56012;B392;;Calcinaia;Calcinaia;PI;050004
24050;B393;;Calcinate;Calcinate;BG;016043
25011;B394;;Calcinato;Calcinato;BS;017032
24054;B395;;Calcio;Calcio;BG;016044
23885;B396;;Calco;Calco;LC;097012
39052;B397;;Kaltern an der Weinstra�e;Caldaro sulla Strada del Vino;BZ;021015
62020;B398;;Caldarola;Caldarola;MC;043006
40012;B399;;Calderara di Reno;Calderara di Reno;BO;037009
38022;B400;;Caldes;Caldes;TN;022033
;B401;31/12/1989;;Cal di Canale;GO;031703
37042;B402;;Caldiero;Caldiero;VR;023017
36030;B403;;Caldogno;Caldogno;VI;024018
38052;B404;;Caldonazzo;Caldonazzo;TN;022034
29010;B405;;Calendasco;Calendasco;PC;033008
50041;B406;;Calenzano;Calenzano;FI;048005
;B407;31/12/1989;;Calepio;BG;016713
43030;B408;;Calestano;Calestano;PR;034008
17020;B409;;Calice Ligure;Calice Ligure;SV;009016
19020;B410;;Calice al Cornoviglio;Calice al Cornoviglio;SP;011008
;B411;31/12/1989;;Calice Ossolano;NO;003722
;B412;31/12/1989;;Calignano;PV;018710
73021;B413;;Calimera;Calimera;LE;075010
;B414;31/12/1989;;Calino;BS;017714
83045;B415;;Calitri;Calitri;AV;064015
17057;B416;;Calizzano;Calizzano;SV;009017
13821;B417;;Callabiana;Callabiana;BI;096008
14031;B418;;Calliano Monferrato;Calliano Monferrato;AT;005014
38060;B419;;Calliano;Calliano;TN;022035
;B420;31/12/1989;;Calo';MI;015733
;B421;31/12/1989;;Calogna;NO;003723
;B422;31/12/1989;;Calolzio;BG;016714
23801;B423;;Calolziocorte;Calolziocorte;LC;097013
87060;B424;;Calopezzati;Calopezzati;CS;078021
14052;B425;;Calosso;Calosso;AT;005015
87060;B426;;Caloveto;Caloveto;CS;078022
92010;B427;;Caltabellotta;Caltabellotta;AG;084007
95041;B428;;Caltagirone;Caltagirone;CT;087011
93100;B429;;Caltanissetta;Caltanissetta;CL;085004
90022;B430;;Caltavuturo;Caltavuturo;PA;082015
28010;B431;;Caltignaga;Caltignaga;NO;003030
45030;B432;;Calto;Calto;RO;029008
36030;B433;;Caltrano;Caltrano;VI;024019
24033;B434;;Calusco d'Adda;Calusco d'Adda;BG;016046
10014;B435;;Caluso;Caluso;TO;001047
25080;B436;;Calvagese Della Riviera;Calvagese Della Riviera;BS;017033
84080;B437;;Calvanico;Calvanico;SA;065020
;B438;31/12/1989;;Calvaruso;ME;083701
26030;B439;;Calvatone;Calvatone;CR;019009
85010;B440;;Calvello;Calvello;PZ;076015
36030;B441;;Calvene;Calvene;VI;024020
24040;B442;;Calvenzano;Calvenzano;BG;016047
85030;B443;;Calvera;Calvera;PZ;076016
82018;B444;;Calvi;Calvi;BN;062012
81042;B445;;Calvi Risorta;Calvi Risorta;CE;061010
05032;B446;;Calvi Dell'Umbria;Calvi Dell'Umbria;TR;055008
27040;B447;;Calvignano;Calvignano;PV;018025
20080;B448;;Calvignasco;Calvignasco;MI;015042
;B449;31/12/1989;;Calvi San Nazzaro;BN;062701
25012;B450;;Calvisano;Calvisano;BS;017034
;B451;31/12/1989;;Calvisio;GE;010706
80012;B452;;Calvizzano;Calvizzano;NA;063012
15030;B453;;Camagna Monferrato;Camagna Monferrato;AL;006026
;B454;31/12/1989;;Camagna di Torino;TO;001711
55041;B455;;Camaiore;Camaiore;LU;046005
26823;B456;31/12/2017;Camairago;Camairago;LO;098007
13821;B457;;Camandona;Camandona;BI;096009
;B458;31/12/1989;;Camarda;AQ;066702
;B459;31/12/1989;;Camasco;VC;002704
92020;B460;;Camastra;Camastra;AG;084008
20040;B461;;Cambiago;Cambiago;MI;015044
10020;B462;;Cambiano;Cambiano;TO;001048
28814;B463;;Cambiasca;Cambiasca;VB;103015
;B464;31/12/1989;;Cambio';PV;018711
13891;B465;;Camburzano;Camburzano;BI;096010
86095;B466;;Sant'Elena Sannita;Sant'Elena Sannita;IS;094047
12072;B467;;Camerana;Camerana;CN;004035
60021;B468;;Camerano;Camerano;AN;042006
14020;B469;;Camerano Casasco;Camerano Casasco;AT;005016
60020;B470;;Camerata Picena;Camerata Picena;AN;042007
24010;B471;;Camerata Cornello;Camerata Cornello;BG;016048
00020;B472;;Camerata Nuova;Camerata Nuova;RM;058014
28062;B473;;Cameri;Cameri;NO;003032
62032;B474;;Camerino;Camerino;MC;043007
;B475;31/12/1989;;Camerlata;CO;013728
84040;B476;;Camerota;Camerota;SA;065021
81050;B477;;Camigliano;Camigliano;CE;061011
;B478;31/12/1989;;Camignone;BS;017715
29010;B479;31/12/2017;Caminata;Caminata;PC;033009
;B480;31/12/1989;Kematen;Caminata di Tures;BZ;021705
89040;B481;;Camini;Camini;RC;080017
15020;B482;;Camino;Camino;AL;006027
33030;B483;;Camino al Tagliamento;Camino al Tagliamento;UD;030015
26010;B484;;Camisano;Camisano;CR;019010
36043;B485;;Camisano Vicentino;Camisano Vicentino;VI;024021
92022;B486;;Cammarata;Cammarata;AG;084009
;B487;31/12/1989;;Camnago Volta;CO;013730
;B488;31/12/1989;;Camnago Faloppia;CO;013729
12050;B489;31/12/2018;Camo;Camo;CN;004036
16032;B490;;Camogli;Camogli;GE;010007
11020;B491;;Chamois;Chamois;AO;007016
84022;B492;;Campagna;Campagna;SA;065022
30010;B493;;Campagna Lupia;Campagna Lupia;VE;027002
81010;B494;;Castel Campagnano;Castel Campagnano;CE;061023
;B495;31/12/1989;;Campagnano Vedasca;VA;012719
00063;B496;;Campagnano di Roma;Campagnano di Roma;RM;058015
58042;B497;;Campagnatico;Campagnatico;GR;053002
26010;B498;;Campagnola Cremasca;Campagnola Cremasca;CR;019011
42012;B499;;Campagnola Emilia;Campagnola Emilia;RE;035009
87061;B500;;Campana;Campana;CS;078023
20857;B501;;Camparada;Camparada;MB;108014
42040;B502;;Campegine;Campegine;RE;035010
;B503;31/12/1989;;Campello Monti;NO;003724
06042;B504;;Campello Sul Clitunno;Campello Sul Clitunno;PG;054005
13023;B505;;Campertogno;Campertogno;VC;002025
73012;B506;;Campi Salentina;Campi Salentina;LE;075011
50013;B507;;Campi Bisenzio;Campi Bisenzio;FI;048006
13812;B508;20/01/2016;Campiglia Cervo;Campiglia Cervo;BI;096011
57021;B509;;Campiglia Marittima;Campiglia Marittima;LI;049002
10080;B510;;Valprato Soana;Valprato Soana;TO;001288
36020;B511;;Campiglia dei Berici;Campiglia dei Berici;VI;024022
10060;B512;;Campiglione Fenile;Campiglione Fenile;TO;001049
22060;B513;;Campione d'Italia;Campione d'Italia;CO;013040
38031;B514;;Campitello di Fassa;Campitello di Fassa;TN;022036
64012;B515;;Campli;Campli;TE;067008
89052;B516;;Campo Calabro;Campo Calabro;RC;080018
;B517;31/12/1989;;Campo Canavese;TO;001712
;B518;31/12/1989;;Campo;TN;022722
86100;B519;;Campobasso;Campobasso;CB;070006
92023;B520;;Campobello di Licata;Campobello di Licata;AG;084010
91021;B521;;Campobello di Mazara;Campobello di Mazara;TP;081004
86020;B522;;Campochiaro;Campochiaro;CB;070007
;B523;31/12/1989;;Campochiesa;SV;009705
35011;B524;;Campodarsego;Campodarsego;PD;028017
38010;B525;;Campodenno;Campodenno;TN;022037
67030;B526;;Campo di Giove;Campo di Giove;AQ;066015
04020;B527;;Campodimele;Campodimele;LT;059003
86010;B528;;Campodipietra;Campodipietra;CB;070008
39040;B529;;Freienfeld;Campo di Trens;BZ;021016
23021;B530;;Campodolcino;Campodolcino;SO;014012
35010;B531;;Campodoro;Campodoro;PD;028018
90010;B532;;Campofelice di Roccella;Campofelice di Roccella;PA;082017
90030;B533;;Campofelice di Fitalia;Campofelice di Fitalia;PA;082016
63828;B534;;Campofilone;Campofilone;FM;109004
90030;B535;;Campofiorito;Campofiorito;PA;082018
33030;B536;;Campoformido;Campoformido;UD;030016
93010;B537;;Campofranco;Campofranco;CL;085005
16013;B538;;Campo Ligure;Campo Ligure;GE;010008
41011;B539;;Campogalliano;Campogalliano;MO;036003
11020;B540;;Champorcher;Champorcher;AO;007018
82020;B541;;Campolattaro;Campolattaro;BN;062013
82030;B542;;Campoli del Monte Taburno;Campoli del Monte Taburno;BN;062014
03030;B543;;Campoli Appennino;Campoli Appennino;FR;060016
86040;B544;;Campolieto;Campolieto;CB;070009
33040;B545;31/12/2008;Campolongo al Torre;Campolongo al Torre;UD;030017
30010;B546;;Campolongo Maggiore;Campolongo Maggiore;VE;027003
36020;B547;29/01/2019;Campolongo Sul Brenta;Campolongo Sul Brenta;VI;024023
;B548;31/12/1989;;Campolungo;MI;015734
85010;B549;;Campomaggiore;Campomaggiore;PZ;076017
86042;B550;;Campomarino;Campomarino;CB;070010
16014;B551;;Campomorone;Campomorone;GE;010009
;B552;31/12/1989;;Campomorto;PV;018713
57034;B553;;Campo Nell'Elba;Campo Nell'Elba;LI;049003
30010;B554;;Camponogara;Camponogara;VE;027004
84040;B555;;Campora;Campora;SA;065023
90043;B556;;Camporeale;Camporeale;PA;082019
55031;B557;;Camporgiano;Camporgiano;LU;046006
;B558;31/12/1989;;Campo Rinaldo;PV;018712
18033;B559;;Camporosso;Camporosso;IM;008011
;B560;31/12/1989;;Camporosso in Valcanale;UD;030700
95040;B561;;Camporotondo Etneo;Camporotondo Etneo;CT;087012
62020;B562;;Camporotondo di Fiastrone;Camporotondo di Fiastrone;MC;043008
35012;B563;;Camposampiero;Camposampiero;PD;028019
35010;B564;;Campo San Martino;Campo San Martino;PD;028020
80030;B565;;Camposano;Camposano;NA;063013
41031;B566;;Camposanto;Camposanto;MO;036004
27040;B567;;Campospinoso Albaredo;Campospinoso Albaredo;PV;018026
;B568;31/12/1989;;Campospinoso Albaredo;PV;018714
67013;B569;;Campotosto;Campotosto;AQ;066016
39032;B570;;Sand in Taufers;Campo Tures;BZ;021017
;B571;31/12/1989;;Campovico;SO;014702
40032;B572;;Camugnano;Camugnano;BO;037010
12043;B573;;Canale;Canale;CN;004037
32020;B574;;Canale d'Agordo;Canale d'Agordo;BL;025023
;B575;31/12/1989;;Canale d'Isonzo;GO;031704
00060;B576;;Canale Monterano;Canale Monterano;RM;058016
38050;B577;;Canal San Bovo;Canal San Bovo;TN;022038
45034;B578;;Canaro;Canaro;RO;029009
38032;B579;;Canazei;Canazei;TN;022039
85010;B580;;Cancellara;Cancellara;PZ;076018
81030;B581;;Cancello Ed Arnone;Cancello Ed Arnone;CE;061012
45020;B582;;Canda;Canda;RO;029010
;B583;31/12/1989;;Candeasco;IM;008706
71024;B584;;Candela;Candela;FG;071009
;B585;31/12/1989;;Candelara;PU;041700
13878;B586;;Candelo;Candelo;BI;096012
27031;B587;;Candia Lomellina;Candia Lomellina;PV;018027
10010;B588;;Candia Canavese;Candia Canavese;TO;001050
35020;B589;;Candiana;Candiana;PD;028021
83040;B590;;Candida;Candida;AV;064016
89020;B591;;Candidoni;Candidoni;RC;080019
10060;B592;;Candiolo;Candiolo;TO;001051
20010;B593;;Canegrate;Canegrate;MI;015046
14053;B594;;Canelli;Canelli;AT;005017
02035;B595;;Orvinio;Orvinio;RI;057047
;B596;31/12/1989;;Canepa;GE;010707
01030;B597;;Canepina;Canepina;VT;056011
33070;B598;;Caneva;Caneva;PN;093009
27040;B599;31/12/2018;Canevino;Canevino;PV;018028
;B600;31/12/1989;;Canezza;TN;022723
;B601;31/12/1989;;Canfanaro;PL;702708
92024;B602;;Canicatt�;Canicatt�;AG;084011
96010;B603;;Canicattini Bagni;Canicattini Bagni;SR;089005
01011;B604;;Canino;Canino;VT;056012
10080;B605;;Canischio;Canischio;TO;001052
67050;B606;;Canistro;Canistro;AQ;066017
87070;B607;;Canna;Canna;CS;078024
84040;B608;;Cannalonga;Cannalonga;SA;065024
06033;B609;;Cannara;Cannara;PG;054006
28821;B610;;Cannero Riviera;Cannero Riviera;VB;103016
;B611;31/12/1989;;Canneto di Bari;BA;072700
46013;B612;;Canneto Sull'Oglio;Canneto Sull'Oglio;MN;020008
27044;B613;;Canneto Pavese;Canneto Pavese;PV;018029
;B614;31/12/1989;;Cannitello;RC;080700
28822;B615;;Cannobio;Cannobio;VB;103017
73020;B616;;Cannole;Cannole;LE;075012
89040;B617;;Canolo;Canolo;RC;080020
24040;B618;;Canonica d'Adda;Canonica d'Adda;BG;016049
76012;B619;;Canosa di Puglia;Canosa di Puglia;BT;110004
66010;B620;;Canosa Sannita;Canosa Sannita;CH;069010
12020;B621;;Canosio;Canosio;CN;004038
;B622;31/12/1989;;Canova del Morbasco;CR;019720
;B623;31/12/1989;;Canova Olzano;CR;019721
67030;B624;;Cansano;Cansano;AQ;066018
;B625;31/12/1989;;Cansero;CR;019722
59025;B626;;Cantagallo;Cantagallo;PO;100001
02014;B627;;Cantalice;Cantalice;RI;057009
10060;B628;;Cantalupa;Cantalupa;TO;001053
15060;B629;;Cantalupo Ligure;Cantalupo Ligure;AL;006028
86092;B630;;Cantalupo Nel Sannio;Cantalupo Nel Sannio;IS;094005
02040;B631;;Cantalupo in Sabina;Cantalupo in Sabina;RI;057010
00020;B632;;Mandela;Mandela;RM;058053
14010;B633;;Cantarana;Cantarana;AT;005018
21050;B634;;Cantello;Cantello;VA;012030
00020;B635;;Canterano;Canterano;RM;058017
61044;B636;;Cantiano;Cantiano;PU;041008
10070;B637;;Cantoira;Cantoira;TO;001054
;B638;31/12/1989;;Cantonale;MI;015735
22063;B639;;Cant�;Cant�;CO;013041
64020;B640;;Canzano;Canzano;TE;067009
22035;B641;;Canzo;Canzo;CO;013042
30021;B642;;Caorle;Caorle;VE;027005
29012;B643;;Caorso;Caorso;PC;033010
84047;B644;;Capaccio Paestum;Capaccio Paestum;SA;065025
90040;B645;;Capaci;Capaci;PA;082020
58011;B646;;Capalbio;Capalbio;GR;053003
56033;B647;;Capannoli;Capannoli;PI;050005
55012;B648;;Capannori;Capannori;LU;046007
00060;B649;;Capena;Capena;RM;058018
26010;B650;;Capergnanica;Capergnanica;CR;019012
67022;B651;;Capestrano;Capestrano;AQ;066019
;B652;31/12/1989;;Capiago;CO;013731
22070;B653;;Capiago Intimiano;Capiago Intimiano;CO;013043
;B654;31/12/1989;;Capiate;CO;013732
89818;B655;;Capistrano;Capistrano;VV;102005
67053;B656;;Capistrello;Capistrello;AQ;066020
;B657;31/12/1989;;Capitello;SA;065700
67014;B658;;Capitignano;Capitignano;AQ;066021
;B659;31/12/1989;;Capitone;PG;054701
98031;B660;;Capizzi;Capizzi;ME;083008
24030;B661;;Capizzone;Capizzone;BG;016050
32014;B662;;Ponte Nelle Alpi;Ponte Nelle Alpi;BL;025040
01010;B663;;Capodimonte;Capodimonte;VT;056013
25044;B664;;Capo di Ponte;Capo di Ponte;BS;017035
;B665;31/12/1989;;Capodistria;PL;702709
98071;B666;;Capo d'Orlando;Capo d'Orlando;ME;083009
81020;B667;;Capodrise;Capodrise;CE;061013
;B668;31/12/1989;;Capolago;VA;012720
57031;B669;;Capoliveri;Capoliveri;LI;049004
52010;B670;;Capolona;Capolona;AR;051006
20867;B671;;Caponago;Caponago;MB;108052
67020;B672;;Caporciano;Caporciano;AQ;066022
;B673;31/12/1989;;Caporetto;GO;031705
83040;B674;;Caposele;Caposele;AV;064017
09012;B675;;Capoterra;Capoterra;CA;092011
25070;B676;;Capovalle;Capovalle;BS;017036
67060;B677;;Cappadocia;Cappadocia;AQ;066023
31012;B678;;Cappella Maggiore;Cappella Maggiore;TV;026007
26020;B679;;Cappella Cantone;Cappella Cantone;CR;019013
26030;B680;;Cappella De' Picenardi;Cappella De' Picenardi;CR;019014
65010;B681;;Cappelle Sul Tavo;Cappelle Sul Tavo;PE;068006
86082;B682;;Capracotta;Capracotta;IS;094006
;B683;31/12/1989;;Capradosso;AP;044701
50050;B684;;Capraia E Limite;Capraia E Limite;FI;048008
57032;B685;;Capraia Isola;Capraia Isola;LI;049005
26010;B686;;Capralba;Capralba;CR;019015
00030;B687;;Capranica Prenestina;Capranica Prenestina;RM;058019
01012;B688;;Capranica;Capranica;VT;056014
40043;B689;;Marzabotto;Marzabotto;BO;037036
73010;B690;;Caprarica di Lecce;Caprarica di Lecce;LE;075013
01032;B691;;Caprarola;Caprarola;VT;056015
12070;B692;;Caprauna;Caprauna;CN;004039
52033;B693;;Caprese Michelangelo;Caprese Michelangelo;AR;051007
28815;B694;;Caprezzo;Caprezzo;VB;103018
98070;B695;;Capri Leone;Capri Leone;ME;083010
80073;B696;;Capri;Capri;NA;063014
38030;B697;;Capriana;Capriana;TN;022040
25020;B698;;Capriano del Colle;Capriano del Colle;BS;017037
;B699;31/12/1989;;Capriano di Brianza;MI;015736
;B700;31/12/1989;;Capriano-Azzano;BS;017717
15060;B701;;Capriata d'Orba;Capriata d'Orba;AL;006029
;B702;31/12/1989;;Capriate d'Adda;BG;016715
24042;B703;;Capriate San Gervasio;Capriate San Gervasio;BG;016051
81014;B704;;Capriati A Volturno;Capriati A Volturno;CE;061014
10040;B705;;Caprie;Caprie;TO;001055
83010;B706;;Capriglia Irpina;Capriglia Irpina;AV;064018
14014;B707;;Capriglio;Capriglio;AT;005019
13864;B708;;Caprile;Caprile;BI;096013
37013;B709;;Caprino Veronese;Caprino Veronese;VR;023018
24030;B710;;Caprino Bergamasco;Caprino Bergamasco;BG;016052
25031;B711;;Capriolo;Capriolo;BS;017038
34070;B712;;Capriva del Friuli;Capriva del Friuli;GO;031001
;B713;31/12/1989;;Capriva del Carso;TS;032720
;B714;31/12/1989;;Capronno;VA;012721
81043;B715;;Capua;Capua;CE;061015
70010;B716;;Capurso;Capurso;BA;072014
88050;B717;;Caraffa di Catanzaro;Caraffa di Catanzaro;CZ;079017
89030;B718;;Caraffa del Bianco;Caraffa del Bianco;RC;080021
12023;B719;;Caraglio;Caraglio;CN;004040
12030;B720;;Caramagna Piemonte;Caramagna Piemonte;CN;004041
;B721;31/12/1989;;Caramagna Ligure;IM;008707
65023;B722;;Caramanico Terme;Caramanico Terme;PE;068007
38033;B723;31/12/2019;Carano;Carano;TN;022041
71041;B724;;Carapelle;Carapelle;FG;071010
67020;B725;;Carapelle Calvisio;Carapelle Calvisio;AQ;066024
16042;B726;;Carasco;Carasco;GE;010010
63063;B727;;Carassai;Carassai;AP;044010
;B728;31/12/1989;;Carate Lario;CO;013733
20841;B729;;Carate Brianza;Carate Brianza;MB;108015
22010;B730;;Carate Urio;Carate Urio;CO;013044
24043;B731;;Caravaggio;Caravaggio;BG;016053
21032;B732;;Caravate;Caravate;VA;012031
10010;B733;;Caravino;Caravino;TO;001056
18020;B734;;Caravonica;Caravonica;IM;008012
01030;B735;;Carbognano;Carbognano;VT;056016
15050;B736;;Carbonara Scrivia;Carbonara Scrivia;AL;006030
;B737;31/12/1989;;Carbonara di Bari;BA;072701
;B738;;Villasimius;Villasimius;SU;111105
46020;B739;31/12/2018;Carbonara di Po;Carbonara di Po;MN;020009
80030;B740;;Carbonara di Nola;Carbonara di Nola;NA;063015
27020;B741;;Carbonara al Ticino;Carbonara al Ticino;PV;018030
22070;B742;;Carbonate;Carbonate;CO;013045
85030;B743;;Carbone;Carbone;PZ;076019
31030;B744;;Carbonera;Carbonera;TV;026008
;B745;;Carbonia;Carbonia;SU;111009
;B746;31/12/1989;;Carcaci;CT;087700
;B747;31/12/1989;;Carcano;CO;013734
17043;B748;;Carcare;Carcare;SV;009018
35040;B749;21/01/2024;Carceri;Carceri;PD;028022
;B750;31/12/1989;;Carciato;TN;022724
;B751;31/12/1989;;Carcina;BS;017718
13026;B752;;Carcoforo;Carcoforo;VC;002029
;B753;31/12/1989;;Cardana;VA;012722
21010;B754;;Cardano al Campo;Cardano al Campo;VA;012032
12030;B755;;Card�;Card�;CN;004042
89060;B756;;Cardeto;Cardeto;RC;080022
;B757;31/12/1989;;Cardezza;NO;003725
88062;B758;;Cardinale;Cardinale;CZ;079018
80024;B759;;Cardito;Cardito;NA;063016
55030;B760;;Careggine;Careggine;LU;046008
;B761;31/12/1989;;Carella Con Mariaga;CO;013735
10010;B762;;Carema;Carema;TO;001057
23802;B763;;Carenno;Carenno;LC;097014
;B764;31/12/1989;;Careno;CO;013736
15026;B765;;Carentino;Carentino;AL;006031
89030;B766;;Careri;Careri;RC;080023
13010;B767;;Caresana;Caresana;VC;002030
13030;B768;;Caresanablot;Caresanablot;VC;002031
15051;B769;;Carezzano;Carezzano;AL;006032
;B770;31/12/1989;;Carezzano Superiore;AL;006704
88817;B771;;Carfizzi;Carfizzi;KR;101003
07030;B772;;Cargeghe;Cargeghe;SS;090022
;B773;31/12/1989;;Cargiago;NO;003726
87062;B774;;Cariati;Cariati;CS;078025
;B775;31/12/1989;;Carida';RC;080701
83040;B776;;Carife;Carife;AV;064019
10041;B777;;Carignano;Carignano;TO;001058
22060;B778;;Carimate;Carimate;CO;013046
81032;B779;;Carinaro;Carinaro;CE;061016
90044;B780;;Carini;Carini;PA;082021
81030;B781;;Carinola;Carinola;CE;061017
13040;B782;;Carisio;Carisio;VC;002032
38080;B783;;Carisolo;Carisolo;TN;022042
71030;B784;;Carlantino;Carlantino;FG;071011
22010;B785;;Carlazzo;Carlazzo;CO;013047
;B786;31/12/1989;;Carlazzo Valsolda;CO;013737
96013;B787;;Carlentini;Carlentini;SR;089006
33050;B788;;Carlino;Carlino;UD;030018
;B789;;Carloforte;Carloforte;SU;111010
88040;B790;;Carlopoli;Carlopoli;CZ;079020
10022;B791;;Carmagnola;Carmagnola;TO;001059
73041;B792;;Carmiano;Carmiano;LE;075014
;B793;31/12/1989;;Camigna;GO;031747
59015;B794;;Carmignano;Carmignano;PO;100002
35010;B795;;Carmignano di Brenta;Carmignano di Brenta;PD;028023
21040;B796;;Carnago;Carnago;VA;012033
;B797;31/12/1989;;Carnaiola;PG;054702
20866;B798;;Carnate;Carnate;MB;108016
39053;B799;;Karneid;Cornedo all'Isarco;BZ;021023
;B800;31/12/1989;;Carobbio;BG;016716
24060;B801;;Carobbio Degli Angeli;Carobbio Degli Angeli;BG;016055
87030;B802;;Carolei;Carolei;CS;078026
24010;B803;;Carona;Carona;BG;016056
98072;B804;;Caronia;Caronia;ME;083011
21042;B805;;Caronno Pertusella;Caronno Pertusella;VA;012034
;B806;31/12/1989;;Caronno Corbellaro;VA;012723
21040;B807;;Caronno Varesino;Caronno Varesino;VA;012035
74021;B808;;Carosino;Carosino;TA;073002
72012;B809;;Carovigno;Carovigno;BR;074002
86083;B810;;Carovilli;Carovilli;IS;094007
;B811;31/12/1989;;Carpaneta Con Dosimo;CR;019723
29013;B812;;Carpaneto Piacentino;Carpaneto Piacentino;PC;033011
87050;B813;;Carpanzano;Carpanzano;CS;078027
18010;B814;31/12/2017;Carpasio;Carpasio;IM;008013
;B815;31/12/1989;;Carpe;GE;010708
61021;B816;;Carpegna;Carpegna;PU;041009
25013;B817;;Carpenedolo;Carpenedolo;BS;017039
15071;B818;;Carpeneto;Carpeneto;AL;006033
41012;B819;;Carpi;Carpi;MO;036005
20080;B820;;Carpiano;Carpiano;MI;015050
;B821;31/12/1989;;Carpignago;PV;018715
73020;B822;;Carpignano Salentino;Carpignano Salentino;LE;075015
28064;B823;;Carpignano Sesia;Carpignano Sesia;NO;003036
27010;B824;;Cura Carpignano;Cura Carpignano;PV;018060
42033;B825;;Carpineti;Carpineti;RE;035011
66030;B826;;Carpineto Sinello;Carpineto Sinello;CH;069011
65010;B827;;Carpineto Della Nora;Carpineto Della Nora;PE;068008
00032;B828;;Carpineto Romano;Carpineto Romano;RM;058020
71010;B829;;Carpino;Carpino;FG;071012
86093;B830;;Carpinone;Carpinone;IS;094008
;B831;31/12/1989;;Carpugnino;NO;003727
54033;B832;;Carrara;Carrara;MS;045003
35020;B833;28/02/1995;Carrara San Giorgio;Carrara San Giorgio;PD;028024
35020;B834;28/02/1995;Carrara Santo Stefano;Carrara Santo Stefano;PD;028025
36010;B835;;Carr�;Carr�;VI;024024
15060;B836;;Carrega Ligure;Carrega Ligure;AL;006034
;B837;31/12/1989;;Carretto;GE;010709
19012;B838;;Carro;Carro;SP;011009
19020;B839;;Carrodano;Carrodano;SP;011010
15060;B840;;Carrosio;Carrosio;AL;006035
12061;B841;;Carr�;Carr�;CN;004043
67061;B842;;Carsoli;Carsoli;AQ;066025
;B843;31/12/1989;;Cartari E Calderara;IM;008708
36050;B844;;Cartigliano;Cartigliano;VI;024025
12020;B845;;Cartignano;Cartignano;CN;004044
61030;B846;;Cartoceto;Cartoceto;PU;041010
15015;B847;;Cartosio;Cartosio;AL;006036
35025;B848;;Cartura;Cartura;PD;028026
;B849;31/12/1989;;Caruberto;CR;019724
20061;B850;;Carugate;Carugate;MI;015051
22060;B851;;Carugo;Carugo;CO;013048
;B852;31/12/1989;;Carugo Arosio;CO;013738
66050;B853;;Carunchio;Carunchio;CH;069012
24030;B854;;Carvico;Carvico;BG;016057
;B855;31/12/1989;;Carzago Della Riviera;BS;017719
38050;B856;;Carzano;Carzano;TN;022043
88822;B857;;Casabona;Casabona;KR;101004
86043;B858;;Casacalenda;Casacalenda;CB;070011
66010;B859;;Casacanditella;Casacanditella;CH;069013
81022;B860;;Casagiove;Casagiove;CE;061018
66031;B861;;Casalanguida;Casalanguida;CH;069014
03030;B862;;Casalattico;Casalattico;FR;060017
;B863;31/12/1989;;Casalba;CE;061703
28060;B864;;Casalbeltrame;Casalbeltrame;NO;003037
66021;B865;;Casalbordino;Casalbordino;CH;069015
83034;B866;;Casalbore;Casalbore;AV;064020
10020;B867;;Casalborgone;Casalborgone;TO;001060
84030;B868;;Casalbuono;Casalbuono;SA;065026
26011;B869;;Casalbuttano Ed Uniti;Casalbuttano Ed Uniti;CR;019016
15072;B870;;Casal Cermelli;Casal Cermelli;AL;006037
86010;B871;;Casalciprano;Casalciprano;CB;070012
81033;B872;;Casal di Principe;Casal di Principe;CE;061019
82027;B873;;Casalduni;Casalduni;BN;062015
;B874;31/12/1989;;Casale Cremasco;CR;019725
21020;B875;;Casale Litta;Casale Litta;VA;012036
28881;B876;;Casale Corte Cerro;Casale Corte Cerro;VB;103019
35040;B877;;Casale di Scodosia;Casale di Scodosia;PD;028027
56040;B878;;Casale Marittimo;Casale Marittimo;PI;050006
31032;B879;;Casale Sul Sile;Casale Sul Sile;TV;026009
40033;B880;;Casalecchio di Reno;Casalecchio di Reno;BO;037011
26010;B881;;Casale Cremasco-Vidolasco;Casale Cremasco-Vidolasco;CR;019017
15070;B882;;Casaleggio Boiro;Casaleggio Boiro;AL;006038
28060;B883;;Casaleggio Novara;Casaleggio Novara;NO;003039
;B884;31/12/1989;;Casaleggio Castellazzo;NO;003728
15033;B885;;Casale Monferrato;Casale Monferrato;AL;006039
37052;B886;;Casaleone;Casaleone;VR;023019
26852;B887;;Casaletto Lodigiano;Casaletto Lodigiano;LO;098008
84030;B888;;Casaletto Spartano;Casaletto Spartano;SA;065027
26010;B889;;Casaletto Ceredano;Casaletto Ceredano;CR;019018
26014;B890;;Casaletto di Sopra;Casaletto di Sopra;CR;019019
26010;B891;;Casaletto Vaprio;Casaletto Vaprio;CR;019020
